station_name,latitude,longitude,venue_id,venue_name,venue_category,venue_address,venue_distance,venue_latitude,venue_longitude
Yaletown-Roundhouse Station,49.274566,-123.121817,4fac04c2e4b0685b5b224d9d,Minami Restaurant,Sushi Restaurant,1118 Mainland St,107,49.275269,-123.120797
Yaletown-Roundhouse Station,49.274566,-123.121817,4b4fdbd2f964a520c91727e3,Hapa Izakaya,Bar,1193 Hamilton St,86,49.27512,-123.12265
Yaletown-Roundhouse Station,49.274566,-123.121817,4aa94599f964a520cc5220e3,Cactus Club Cafe Yaletown,American Restaurant,357 Davie St,87,49.275084,-123.122728
Yaletown-Roundhouse Station,49.274566,-123.121817,4aa942d5f964a520ba5220e3,Blue Water Cafe + Raw Bar,Seafood Restaurant,1095 Hamilton St,180,49.276123,-123.121114
Yaletown-Roundhouse Station,49.274566,-123.121817,5af8880a838e59002ce2d728,Angus T,Bakery,1036 Mainland St,202,49.275871,-123.119875
Yaletown-Roundhouse Station,49.274566,-123.121817,4aa7ec7cf964a520064e20e3,La Terrazza,Italian Restaurant,1088 Cambie St,220,49.274887,-123.118818
Yaletown-Roundhouse Station,49.274566,-123.121817,5cd9e07fd176e9003299b498,OEB Breakfast Co,Dining and Drinking,1137 Marinaside Cres,218,49.273374,-123.119419
Dunsmuir & Beatty,49.279764,-123.110154,571f842a498e10fa3180d4cd,Jam Cafe,Coffee Shop,556 Beatty St,71,49.280306,-123.109627
Dunsmuir & Beatty,49.279764,-123.110154,4b23212bf964a520a75324e3,Queen Elizabeth Theatre,Music Venue,600 Block Hamilton St,196,49.280353,-123.112713
Dunsmuir & Beatty,49.279764,-123.110154,4cc72e8b01fb236a8d70bbba,Meat & Bread,Bakery,370 Cambie St,328,49.282674,-123.109342
Dunsmuir & Beatty,49.279764,-123.110154,5790281f498e75e0454bf0a9,Fanny Bay Oyster Bar & Shellfish Market,Seafood Restaurant,762 Cambie St,321,49.278557,-123.114183
Dunsmuir & Beatty,49.279764,-123.110154,5827c3091dbf6c7dd8ddfd6c,Nemesis Coffee,Coffee Shop,302 W Hastings St,336,49.282787,-123.110244
Dunsmuir & Beatty,49.279764,-123.110154,554ffd88498e023761d785b3,White Spot Dunsmuir,Dining and Drinking,405 Dunsmuir St,352,49.282011,-123.113585
Dunsmuir & Beatty,49.279764,-123.110154,4aa7fe08f964a520914e20e3,Nuba,Lebanese Restaurant,207B W Hastings St,338,49.282792,-123.109595
Dunsmuir & Beatty,49.279764,-123.110154,51ccc104498ecd1c7f791863,The Paper Hound Bookshop,Bookstore,344 Pender St W,340,49.282597,-123.111931
Dunsmuir & Beatty,49.279764,-123.110154,4aa6f277f964a520964b20e3,BC Place,Stadium,777 Pacific Blvd,361,49.275654,-123.1112
Dunsmuir & Beatty,49.279764,-123.110154,4aa73e90f964a520754c20e3,Vancouver Public Library,Library,350 Georgia St W,381,49.279525,-123.115401
12th & Yukon (City Hall),49.260599,-123.113504,52ae4f3c11d227ba4f4b055a,Indian Roti Kitchen,Indian Restaurant,2961 Cambie St,220,49.258983,-123.115272
12th & Yukon (City Hall),49.260599,-123.113504,57e6d0a2498e8d223bc2af56,Passion8 Dessert Cafe,Café,3010 Cambie St,265,49.25837,-123.114814
12th & Yukon (City Hall),49.260599,-123.113504,4aac95abf964a5204a5e20e3,Winona Park,Landmarks and Outdoors,400 W 59th Ave,268,49.263009,-123.113182
12th & Yukon (City Hall),49.260599,-123.113504,4e223f06d4c0d32590f80ff4,La Taqueria Pinche Taco Shop,Taco Restaurant,2450 Yukon St,344,49.263637,-123.112586
12th & Yukon (City Hall),49.260599,-123.113504,5674aec9498e6800815c3598,Vij's,Indian Restaurant,3106 Cambie St,359,49.257484,-123.11482
12th & Yukon (City Hall),49.260599,-123.113504,4aa73d25f964a520704c20e3,Whole Foods,Retail,510 8th Ave W,393,49.263957,-123.115209
12th & Yukon (City Hall),49.260599,-123.113504,4aa98676f964a520105420e3,Elysian Coffee Broadway,Coffee Shop,590 Broadway W,386,49.263077,-123.117243
12th & Yukon (City Hall),49.260599,-123.113504,4f60fc8be4b0a9d090a1f850,Rogue Kitchen & Wetbar,Bar,602W Broadway W,411,49.263123,-123.117652
12th & Yukon (City Hall),49.260599,-123.113504,4aec909ff964a520ccc821e3,Milano Coffee,Coffee Shop,156 8th Ave W,491,49.263724,-123.108701
12th & Yukon (City Hall),49.260599,-123.113504,4c75baefdb52b1f7c5b979dc,Caffe Cittadella,Coffee Shop,2310 Ash St,523,49.26473,-123.116978
8th & Ash,49.264215,-123.117772,4c75baefdb52b1f7c5b979dc,Caffe Cittadella,Coffee Shop,2310 Ash St,81,49.26473,-123.116978
8th & Ash,49.264215,-123.117772,4f60fc8be4b0a9d090a1f850,Rogue Kitchen & Wetbar,Bar,602W Broadway W,121,49.263123,-123.117652
8th & Ash,49.264215,-123.117772,4aa98676f964a520105420e3,Elysian Coffee Broadway,Coffee Shop,590 Broadway W,132,49.263077,-123.117243
8th & Ash,49.264215,-123.117772,4aa73d25f964a520704c20e3,Whole Foods,Retail,510 8th Ave W,188,49.263957,-123.115209
8th & Ash,49.264215,-123.117772,4b342ac8f964a520b92525e3,Dynasty Seafood Restaurant 皇朝海鮮酒家,Chinese Restaurant,777 Broadway W,271,49.263675,-123.12143
8th & Ash,49.264215,-123.117772,4e223f06d4c0d32590f80ff4,La Taqueria Pinche Taco Shop,Taco Restaurant,2450 Yukon St,381,49.263637,-123.112586
8th & Ash,49.264215,-123.117772,4aac95abf964a5204a5e20e3,Winona Park,Landmarks and Outdoors,400 W 59th Ave,358,49.263009,-123.113182
8th & Ash,49.264215,-123.117772,4ab145f3f964a520d56820e3,Solly's Bagelry,Bakery,368 7th Ave W,408,49.264703,-123.112191
8th & Ash,49.264215,-123.117772,4fdbf49da17c490bc805d53d,Hot Pink,Art Gallery,2075 Yukon St,452,49.26685,-123.113022
8th & Ash,49.264215,-123.117772,4dcc3412fa76873d1c7a08d1,Body Energy Club,Dining and Drinking,555 12th Ave W,393,49.26078,-123.116479
Spyglass & Seawall,49.270877,-123.115103,4aa9d826f964a5206b5520e3,Cooper's Park,Dog Park,1020 Marinaside Cres,299,49.273486,-123.114075
Spyglass & Seawall,49.270877,-123.115103,5cd9e07fd176e9003299b498,OEB Breakfast Co,Dining and Drinking,1137 Marinaside Cres,418,49.273374,-123.119419
Spyglass & Seawall,49.270877,-123.115103,4c0beac07e3fc928d200f682,Hinge Park,Park,Columbia St,379,49.270777,-123.109869
Spyglass & Seawall,49.270877,-123.115103,4aad3bc3f964a520255f20e3,Provence Marinaside,French Restaurant,1177 Marinaside Cres,419,49.273338,-123.119497
Spyglass & Seawall,49.270877,-123.115103,5ba9958535d3fc003903abcc,Nook,Italian Restaurant,195 2nd Ave W,448,49.269521,-123.109276
Spyglass & Seawall,49.270877,-123.115103,4fdbf49da17c490bc805d53d,Hot Pink,Art Gallery,2075 Yukon St,472,49.26685,-123.113022
Spyglass & Seawall,49.270877,-123.115103,523871de11d2c5fc2ec832a1,JJ Bean Coffee Roasters,Coffee Shop,188 1st Ave W,450,49.270118,-123.109002
Spyglass & Seawall,49.270877,-123.115103,4aa7ec7cf964a520064e20e3,La Terrazza,Italian Restaurant,1088 Cambie St,520,49.274887,-123.118818
Spyglass & Seawall,49.270877,-123.115103,59d195e16f706a3692499c29,Honey Salt,Restaurant,39 Smithe St,504,49.275175,-123.11284
Spyglass & Seawall,49.270877,-123.115103,5ce1a82d2a7ab6002b5398fc,Passione Gelato,Gelato Shop,55 Smithe St,556,49.275818,-123.113868
Stamps Landing,49.26893,-123.11813,4fdbf49da17c490bc805d53d,Hot Pink,Art Gallery,2075 Yukon St,436,49.26685,-123.113022
Stamps Landing,49.26893,-123.11813,4c75baefdb52b1f7c5b979dc,Caffe Cittadella,Coffee Shop,2310 Ash St,474,49.26473,-123.116978
Stamps Landing,49.26893,-123.11813,5cd9e07fd176e9003299b498,OEB Breakfast Co,Dining and Drinking,1137 Marinaside Cres,502,49.273374,-123.119419
Stamps Landing,49.26893,-123.11813,4aada430f964a5201f6120e3,Charleson Park,Park,999 Charleson St,519,49.266831,-123.124538
Stamps Landing,49.26893,-123.11813,4aad3bc3f964a520255f20e3,Provence Marinaside,French Restaurant,1177 Marinaside Cres,499,49.273338,-123.119497
Stamps Landing,49.26893,-123.11813,4b572f20f964a520f92928e3,David Lam Park,Park,1300 Pacific Blvd,588,49.27233,-123.124359
Stamps Landing,49.26893,-123.11813,4aa9d826f964a5206b5520e3,Cooper's Park,Dog Park,1020 Marinaside Cres,585,49.273486,-123.114075
Stamps Landing,49.26893,-123.11813,4aa84de2f964a520ba5020e3,The Beaumont Studios,Art Gallery,316W 5th Ave W,579,49.266432,-123.111121
Stamps Landing,49.26893,-123.11813,4aa73d25f964a520704c20e3,Whole Foods,Retail,510 8th Ave W,591,49.263957,-123.115209
Stamps Landing,49.26893,-123.11813,4aa7ec7cf964a520064e20e3,La Terrazza,Italian Restaurant,1088 Cambie St,663,49.274887,-123.118818
Ontario & Seawall,49.271721,-123.104207,4df29cb0fa76abc3d86a240a,Seaside Seawall,Hiking Trail,Quebec St,74,49.272387,-123.104085
Ontario & Seawall,49.271721,-123.104207,4e72a8b21495dffb8e949b60,Terra Breads,Bakery,1605 Manitoba St,205,49.271451,-123.107006
Ontario & Seawall,49.271721,-123.104207,4f9c6b9de4b08ea0397d407a,Tap & Barrel,Gastropub,75 Athletes Way,135,49.271827,-123.106065
Ontario & Seawall,49.271721,-123.104207,4cdf0d54f8a4a1431cabdbbc,Legacy Liquor Store,Beer Store,1633 Manitoba St,208,49.271225,-123.106987
Ontario & Seawall,49.271721,-123.104207,508c2d32e4b032d8be856a72,CRAFT Beer Market Vancouver,Beer Garden,85 1st Ave W,205,49.270591,-123.106447
Ontario & Seawall,49.271721,-123.104207,4b730a25f964a52086972de3,Amato Gelato Cafe,Ice Cream Parlor,78 1st Ave E,203,49.270065,-123.102995
Ontario & Seawall,49.271721,-123.104207,57951723498e1e1d10b665a7,Tractor Foods - Olympic Village,Salad Restaurant,1751 Quebec St,261,49.269535,-123.102869
Ontario & Seawall,49.271721,-123.104207,54bea64f498ec3ed3dde9a10,Earnest Ice Cream,Ice Cream Parlor,1829 Quebec St,330,49.268876,-123.102894
Ontario & Seawall,49.271721,-123.104207,4b7c2ccaf964a5201a822fe3,Creekside Park,Restaurant,1455 Quebec St,332,49.274585,-123.102893
Ontario & Seawall,49.271721,-123.104207,5eebe2cda41b0b00083c1494,Mountain Equipment Co-Op,Outdoor Supply Store,111 2nd Ave E,303,49.269349,-123.102123
Canada Place,49.287214,-123.11287,4aa7f561f964a520384e20e3,Miku,Sushi Restaurant,200 Granville St,69,49.286766,-123.112205
Canada Place,49.287214,-123.11287,4b168f8ff964a52058ba23e3,Granville Square,Dentist,200 Granville St,78,49.28653,-123.112591
Canada Place,49.287214,-123.11287,4aa73016f964a520324c20e3,Scotiabank,Movie Theater,200 Burrard St,172,49.287714,-123.115126
Canada Place,49.287214,-123.11287,4ac7ad6cf964a52008b920e3,Mink a Chocolate Cafe  Ltd,Chocolate Store,863 Hastings St W,203,49.286458,-123.115424
Canada Place,49.287214,-123.11287,4aaab560f964a5200c5720e3,The Vancouver Club,Structure,915 Hastings St W,202,49.286952,-123.115629
Canada Place,49.287214,-123.11287,626590fd7335471b48e4ed8d,Breka Bakery & Café,Bakery,740 Hastings St W,216,49.285619,-123.114947
Canada Place,49.287214,-123.11287,5075f7b9f2e73b925f6431ef,FlyOver Canada,Arts and Entertainment,999 Canada Pl Way,259,49.289031,-123.110613
Canada Place,49.287214,-123.11287,4aa6bc27f964a520df4a20e3,Steamworks Brewing Co,Bar,375 Water St,288,49.284949,-123.110915
Canada Place,49.287214,-123.11287,58ffe8bdf79faa67de305c87,Botanist,Restaurant,1038 Canada Pl,293,49.288198,-123.116627
Canada Place,49.287214,-123.11287,50e74e10e4b01d00f05bfd09,JJ Bean Coffee Roasters,Coffee Shop,353 Burrard St,305,49.287529,-123.117057
Granville & Georgia,49.282409,-123.118541,4d2cce46ae3a8cfa4067bf70,Hawksworth Restaurant,Restaurant,801 Georgia St W,111,49.283302,-123.11938
Granville & Georgia,49.282409,-123.118541,4aa6f2c7f964a5209b4b20e3,Vancouver Art Gallery,Art Gallery,750 Hornby St,165,49.282925,-123.12041
Granville & Georgia,49.282409,-123.118541,4aa7f22bf964a520214e20e3,Gotham Steakhouse & Cocktail Bar,Steakhouse,615 Seymour St,194,49.282814,-123.115925
Granville & Georgia,49.282409,-123.118541,5170656ae4b029a050dd8a49,The Keg Steakhouse + Bar,Restaurant,688 Dunsmuir St,189,49.283447,-123.116466
Granville & Georgia,49.282409,-123.118541,4aa73bb9f964a5206b4c20e3,Sephora,Cosmetics Store,701 Georgia St E,197,49.283972,-123.11724
Granville & Georgia,49.282409,-123.118541,5752fe66498e368996d5e859,Cycle City Tours,Bicycle Store,648 Hornby St,203,49.284184,-123.119206
Granville & Georgia,49.282409,-123.118541,4aa7dce2f964a520ad4d20e3,Cafe Medina,Café,780 Richards St,244,49.280498,-123.116863
Granville & Georgia,49.282409,-123.118541,4aa733fbf964a520444c20e3,Commodore Ballroom,Music Venue,838 Granville St,265,49.280556,-123.12045
Granville & Georgia,49.282409,-123.118541,5baffb6598fbfc002c5153b2,Kokoro Tokyo Mazesoba,Ramen Restaurant,551 Seymour St,268,49.283401,-123.115164
Granville & Georgia,49.282409,-123.118541,4ac17919f964a520479720e3,The Orpheum,Music Venue,601 Smithe St,282,49.280081,-123.120416
Pender & Burrard,49.287097,-123.118551,50e74e10e4b01d00f05bfd09,JJ Bean Coffee Roasters,Coffee Shop,353 Burrard St,118,49.287529,-123.117057
Pender & Burrard,49.287097,-123.118551,58ffe8bdf79faa67de305c87,Botanist,Restaurant,1038 Canada Pl,185,49.288198,-123.116627
Pender & Burrard,49.287097,-123.118551,4aaa9a0ef964a5208d5620e3,Cactus Club Cafe Bentall 5,American Restaurant,588 Burrard St,175,49.285532,-123.118834
Pender & Burrard,49.287097,-123.118551,4aaab560f964a5200c5720e3,The Vancouver Club,Structure,915 Hastings St W,212,49.286952,-123.115629
Pender & Burrard,49.287097,-123.118551,4ac7ad6cf964a52008b920e3,Mink a Chocolate Cafe  Ltd,Chocolate Store,863 Hastings St W,237,49.286458,-123.115424
Pender & Burrard,49.287097,-123.118551,4aa73016f964a520324c20e3,Scotiabank,Movie Theater,200 Burrard St,257,49.287714,-123.115126
Pender & Burrard,49.287097,-123.118551,4bfdb7bcf61dc9b6bb7a9fde,Hy's Steakhouse & Cocktail Bar,Steakhouse,637 Hornby St,260,49.284786,-123.119176
Pender & Burrard,49.287097,-123.118551,4d320c5498336dcb18401ff0,Cactus Club Cafe,American Restaurant,1085 Canada Pl,280,49.289603,-123.118045
Pender & Burrard,49.287097,-123.118551,626590fd7335471b48e4ed8d,Breka Bakery & Café,Bakery,740 Hastings St W,320,49.285619,-123.114947
Pender & Burrard,49.287097,-123.118551,5752fe66498e368996d5e859,Cycle City Tours,Bicycle Store,648 Hornby St,327,49.284184,-123.119206
Marinaside & Davie,49.273471,-123.118016,5cd9e07fd176e9003299b498,OEB Breakfast Co,Dining and Drinking,1137 Marinaside Cres,102,49.273374,-123.119419
Marinaside & Davie,49.273471,-123.118016,4aad3bc3f964a520255f20e3,Provence Marinaside,French Restaurant,1177 Marinaside Cres,108,49.273338,-123.119497
Marinaside & Davie,49.273471,-123.118016,4aa7ec7cf964a520064e20e3,La Terrazza,Italian Restaurant,1088 Cambie St,167,49.274887,-123.118818
Marinaside & Davie,49.273471,-123.118016,4fac04c2e4b0685b5b224d9d,Minami Restaurant,Sushi Restaurant,1118 Mainland St,283,49.275269,-123.120797
Marinaside & Davie,49.273471,-123.118016,4aa9d826f964a5206b5520e3,Cooper's Park,Dog Park,1020 Marinaside Cres,285,49.273486,-123.114075
Marinaside & Davie,49.273471,-123.118016,5af8880a838e59002ce2d728,Angus T,Bakery,1036 Mainland St,298,49.275871,-123.119875
Marinaside & Davie,49.273471,-123.118016,5751fda3498e4f21436b3b09,Mister,Ice Cream Parlor,1141 Mainland St,312,49.275114,-123.121514
Marinaside & Davie,49.273471,-123.118016,5a878c33f8cbd46ab822ef69,MeeT in Yaletown,Vegan and Vegetarian Restaurant,1165 Mainland St,319,49.275006,-123.121748
Marinaside & Davie,49.273471,-123.118016,56e71692498e78e8143f679d,Tacofino,Taco Restaurant,1025 Mainland St,356,49.276488,-123.119685
Marinaside & Davie,49.273471,-123.118016,4e2901b5b61c41a2f8a38ab3,The Flying Pig Yaletown,Restaurant,1168 Hamilton St,346,49.275181,-123.122007
Robson & Hornby,49.282758,-123.122092,4b7327faf964a520c79e2de3,Lululemon Athletica,Clothing Store,1148 Robson St,56,49.283016,-123.122756
Robson & Hornby,49.282758,-123.122092,4aa6f2c7f964a5209b4b20e3,Vancouver Art Gallery,Art Gallery,750 Hornby St,108,49.282925,-123.12041
Robson & Hornby,49.282758,-123.122092,4adbc696f964a5208f2a21e3,Rocky Mountain Chocolate Factory,Candy Store,1017 Robson St,125,49.283664,-123.123136
Robson & Hornby,49.282758,-123.122092,53c32265498e7aa07942e9c1,Boulevard Kitchen & Oyster Bar,French Restaurant,845 Burrard St,133,49.283021,-123.123893
Robson & Hornby,49.282758,-123.122092,5bce08ce724750002c469650,Indigo - Robson,Bookstore,1033 Robson St,173,49.28403,-123.123492
Robson & Hornby,49.282758,-123.122092,4d2cce46ae3a8cfa4067bf70,Hawksworth Restaurant,Restaurant,801 Georgia St W,223,49.283302,-123.11938
Robson & Hornby,49.282758,-123.122092,4aaec434f964a520346320e3,Le Crocodile Restaurant,French Restaurant,100A90 Burrard St,228,49.282578,-123.125234
Robson & Hornby,49.282758,-123.122092,4e42e0037d8b2eefb3b06d20,Thierry,Dessert Shop,1059 Alberni St,226,49.284766,-123.122662
Robson & Hornby,49.282758,-123.122092,4aa7e387f964a520db4d20e3,Coast Restaurant,Seafood Restaurant,1054 Alberni St,230,49.284719,-123.123145
Robson & Hornby,49.282758,-123.122092,4aa733fbf964a520444c20e3,Commodore Ballroom,Music Venue,838 Granville St,262,49.280556,-123.12045
Hornby & Pender,49.28602,-123.116624,4ac7ad6cf964a52008b920e3,Mink a Chocolate Cafe  Ltd,Chocolate Store,863 Hastings St W,99,49.286458,-123.115424
Hornby & Pender,49.28602,-123.116624,4aaab560f964a5200c5720e3,The Vancouver Club,Structure,915 Hastings St W,126,49.286952,-123.115629
Hornby & Pender,49.28602,-123.116624,626590fd7335471b48e4ed8d,Breka Bakery & Café,Bakery,740 Hastings St W,144,49.285619,-123.114947
Hornby & Pender,49.28602,-123.116624,50e74e10e4b01d00f05bfd09,JJ Bean Coffee Roasters,Coffee Shop,353 Burrard St,170,49.287529,-123.117057
Hornby & Pender,49.28602,-123.116624,4aaa9a0ef964a5208d5620e3,Cactus Club Cafe Bentall 5,American Restaurant,588 Burrard St,169,49.285532,-123.118834
Hornby & Pender,49.28602,-123.116624,4aa73bb9f964a5206b4c20e3,Sephora,Cosmetics Store,701 Georgia St E,231,49.283972,-123.11724
Hornby & Pender,49.28602,-123.116624,4aa73016f964a520324c20e3,Scotiabank,Movie Theater,200 Burrard St,217,49.287714,-123.115126
Hornby & Pender,49.28602,-123.116624,4bfdb7bcf61dc9b6bb7a9fde,Hy's Steakhouse & Cocktail Bar,Steakhouse,637 Hornby St,230,49.284786,-123.119176
Hornby & Pender,49.28602,-123.116624,58ffe8bdf79faa67de305c87,Botanist,Restaurant,1038 Canada Pl,242,49.288198,-123.116627
Hornby & Pender,49.28602,-123.116624,5752fe66498e368996d5e859,Cycle City Tours,Bicycle Store,648 Hornby St,276,49.284184,-123.119206
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,4aa73e90f964a520754c20e3,Vancouver Public Library,Library,350 Georgia St W,66,49.279525,-123.115401
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,4aa7dce2f964a520ad4d20e3,Cafe Medina,Café,780 Richards St,95,49.280498,-123.116863
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,5790281f498e75e0454bf0a9,Fanny Bay Oyster Bar & Shellfish Market,Seafood Restaurant,762 Cambie St,199,49.278557,-123.114183
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,4b6d04bcf964a52041632ce3,Lupo Restaurant & Vinoteca,Italian Restaurant,869 Hamilton St,190,49.278151,-123.117231
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,51a7a349454a2b1f0e2449f8,Homer St. Cafe and Bar,Restaurant,898 Homer St,202,49.278455,-123.11823
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,4b23212bf964a520a75324e3,Queen Elizabeth Theatre,Music Venue,600 Block Hamilton St,265,49.280353,-123.112713
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,4ac17919f964a520479720e3,The Orpheum,Music Venue,601 Smithe St,287,49.280081,-123.120416
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,554ffd88498e023761d785b3,White Spot Dunsmuir,Dining and Drinking,405 Dunsmuir St,317,49.282011,-123.113585
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,4aa7f22bf964a520214e20e3,Gotham Steakhouse & Cocktail Bar,Steakhouse,615 Seymour St,342,49.282814,-123.115925
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,4aa733fbf964a520444c20e3,Commodore Ballroom,Music Venue,838 Granville St,344,49.280556,-123.12045
Beatty & Nelson,49.275679,-123.116963,4aa7ec7cf964a520064e20e3,La Terrazza,Italian Restaurant,1088 Cambie St,160,49.274887,-123.118818
Beatty & Nelson,49.275679,-123.116963,56e71692498e78e8143f679d,Tacofino,Taco Restaurant,1025 Mainland St,216,49.276488,-123.119685
Beatty & Nelson,49.275679,-123.116963,5af8880a838e59002ce2d728,Angus T,Bakery,1036 Mainland St,212,49.275871,-123.119875
Beatty & Nelson,49.275679,-123.116963,5ce1a82d2a7ab6002b5398fc,Passione Gelato,Gelato Shop,55 Smithe St,224,49.275818,-123.113868
Beatty & Nelson,49.275679,-123.116963,4aa7d47ff964a520714d20e3,The Keg Steakhouse + Bar - Yaletown,Restaurant,1011 Mainland St,214,49.27671,-123.11946
Beatty & Nelson,49.275679,-123.116963,4fac04c2e4b0685b5b224d9d,Minami Restaurant,Sushi Restaurant,1118 Mainland St,281,49.275269,-123.120797
Beatty & Nelson,49.275679,-123.116963,4b6d04bcf964a52041632ce3,Lupo Restaurant & Vinoteca,Italian Restaurant,869 Hamilton St,275,49.278151,-123.117231
Beatty & Nelson,49.275679,-123.116963,4aa942d5f964a520ba5220e3,Blue Water Cafe + Raw Bar,Seafood Restaurant,1095 Hamilton St,304,49.276123,-123.121114
Beatty & Nelson,49.275679,-123.116963,4aa9d826f964a5206b5520e3,Cooper's Park,Dog Park,1020 Marinaside Cres,321,49.273486,-123.114075
Beatty & Nelson,49.275679,-123.116963,5cd9e07fd176e9003299b498,OEB Breakfast Co,Dining and Drinking,1137 Marinaside Cres,311,49.273374,-123.119419
Abbott & Cordova,49.282759,-123.106955,5256672f11d2f8b0572a3da1,Gringo,Tex-Mex Restaurant,27 Trounce Alley,140,49.283244,-123.105171
Abbott & Cordova,49.282759,-123.106955,56bd4b6b498e49bd59cacab0,MeeT in Gastown,Vegan and Vegetarian Restaurant,12 Water St,163,49.283275,-123.104849
Abbott & Cordova,49.282759,-123.106955,4cc72e8b01fb236a8d70bbba,Meat & Bread,Bakery,370 Cambie St,173,49.282674,-123.109342
Abbott & Cordova,49.282759,-123.106955,4d9b41359298b1f7635b5338,Revolver,Café,325 Cambie St,190,49.283261,-123.109473
Abbott & Cordova,49.282759,-123.106955,4abea310f964a520ff8e20e3,Pourhouse Restaurant,Restaurant,162 Water St,182,49.284105,-123.108409
Abbott & Cordova,49.282759,-123.106955,4b4e020af964a520f0dd26e3,John Fluevog Boots & Shoes Ltd,Shoe Store,65 Water St,157,49.283836,-123.105546
Abbott & Cordova,49.282759,-123.106955,4aa733eef964a520434c20e3,The Old Spaghetti Factory,Italian Restaurant,53 Water St,168,49.283831,-123.105302
Abbott & Cordova,49.282759,-123.106955,4dc9a94cd22d2af63302269c,Nelson the Seagull,Bakery,315 Carrall St,185,49.282251,-123.104519
Abbott & Cordova,49.282759,-123.106955,4aa7fe08f964a520914e20e3,Nuba,Lebanese Restaurant,207B W Hastings St,191,49.282792,-123.109595
Abbott & Cordova,49.282759,-123.106955,4fae01d3e4b0861eac7a985a,Pidgin,Restaurant,350 Carrall St,202,49.281822,-123.10406
Comox & Denman,49.288444,-123.139203,4aa75933f964a520bf4c20e3,Banana Leaf,Malay Restaurant,1096 Denman St,55,49.288276,-123.139917
Comox & Denman,49.288444,-123.139203,4b54a00bf964a52071c327e3,Brandon & Joanny's NOFRILLS Vancouver,Grocery Store,1030 Denman St,13,49.28869059393502,-123.13914299011232
Comox & Denman,49.288444,-123.139203,50527ea7e4b0588850a3fbab,Espana,Mediterranean Restaurant,1118 Denman St,88,49.288096,-123.140307
Comox & Denman,49.288444,-123.139203,5851f5b5297c16529dd5cf93,Peaked Pies,Australian Restaurant,975 Denman St,142,49.28964,-123.138493
Comox & Denman,49.288444,-123.139203,4e8e4f786c255231f53fdf1e,Ayoub's Dried Fruits & Nuts,Grocery Store,986 Denman St,139,49.289501,-123.138156
Comox & Denman,49.288444,-123.139203,4c1823da834e2d7f0a812880,A-maze-ing Laughter,Sculpture Garden,1800 Morton Ave,196,49.287891,-123.142143
Comox & Denman,49.288444,-123.139203,51076a5f164846261ad38fe0,Eye Kandee Lingerie,Clothing Store,1685 Davie St,265,49.286089,-123.139811
